file,status,slide_count,pipeline_duration_s,input_bytes,output_bytes,evidence_items,total_claims,claims_with_evidence,pct_evidence_coverage,verifier_pass,verifier_rewrite,verifier_remove,verify_iterations,ai_slides_rewritten,error,ingest_s,evidence_s,render_s,graph_s,script_s,verify_s,translate_s,narrate_s,audio_s,video_s
vmsstreamer1.fnal.gov_VMS_Site_03_Lectures_Colloquium_presentations_050323Tannenbaum.pptx,ok,0,817.807,5112779,52927098,471,402,98,24.38,95,307,0,1,49,,11.439,117.509,80.162,5.796,0.129,0.161,0.0,30.468,361.774,208.292
web-services.gov_XML%20Web%20Services-ESC-Mitre.pptx,ok,0,1053.93,1096605,60488419,419,403,144,35.73,140,263,0,1,72,,4.882,48.14,141.46,7.267,0.671,0.917,0.0,43.511,532.461,272.489
wheat.pw.usda.gov_ggpages_oatnewsletter_v50_AOWC_AOWC2006Presentations_Session%204_06%20Anderson.pptx,ok,0,216.853,16450570,12855924,101,89,30,33.71,27,62,0,1,15,,5.839,26.413,26.901,2.188,0.038,0.061,0.0,15.95,89.151,48.614
www.cdph.ca.gov_programs_wicworks_Documents_BabyBehavior_WIC-BB-FinalTrainingCAWICPart1.pptx,ok,0,1101.834,4280107,63858539,699,467,166,35.55,140,327,0,1,83,,16.311,184.845,66.596,11.453,0.128,0.241,0.0,33.589,528.379,258.674
www.cind.research.va.gov_teaching_MII09_Week6_Segmentation.pptx,ok,0,947.614,6888284,43106056,671,723,134,18.53,103,620,0,1,67,,10.203,134.955,102.46,7.485,0.119,0.219,0.0,25.893,436.845,228.102
www.emsc.nysed.gov_irts_cohort_2009_Grad-Rates07-08additionalslides.pptx,ok,0,885.362,744248,44519834,432,554,144,25.99,83,471,0,1,72,,2.862,18.251,141.355,7.748,0.218,0.301,0.0,27.838,433.415,251.954
www.fire.tc.faa.gov:80_ppt_systems_lithsysfire12-00.pptx,ok,0,44.601,213660,4939655,19,12,6,50.0,4,8,0,1,3,,0.746,8.796,5.759,1.152,0.012,0.016,0.0,2.113,15.415,9.617
www.grrec.ky.gov_CaveWeb_pdf_forms_IEP%20Power%20Point.pptx,ok,0,816.582,3982079,48991342,533,493,140,28.4,118,375,0,1,70,,9.578,71.051,50.363,9.544,0.171,0.231,0.0,27.659,438.551,208.207
www.mwa.ars.usda.gov_mwa_ad_NewSY08_BrennerNewSY08.pptx,ok,0,967.836,14686879,73480544,615,634,116,18.3,109,525,0,1,58,,31.03,177.59,89.484,9.258,0.198,0.309,0.0,29.343,384.874,243.581
www.niaid.nih.gov_ncn_grants_charts_budget_concept_flowchart.pptx,ok,0,18.612,9910,565385,18,17,2,11.76,2,15,0,1,1,,0.035,0.029,4.548,0.129,0.011,0.027,0.0,2.224,6.776,3.98
