file,status,slide_count,pipeline_duration_s,input_bytes,output_bytes,evidence_items,total_claims,claims_with_evidence,pct_evidence_coverage,verifier_pass,verifier_rewrite,verifier_remove,verify_iterations,error,ingest_s,evidence_s,render_s,graph_s,script_s,verify_s,translate_s,narrate_s,audio_s,video_s
astrophysics.gsfc.nasa.gov_conferences_supernova1987a_Staveley-Smith.pptx,ok,0,327.959,1090835,7716930,154,116,34,29.31,26,90,0,1,,5.113,87.023,17.248,2.327,111.128,0.065,0.0,0.0,67.284,36.439
avdc.gsfc.nasa.gov_PDF2_5_Balis_OMI_TO3C_Ground.pptx,ok,0,153.925,243804,3735742,57,41,12,29.27,11,30,0,1,,2.261,38.808,17.697,0.592,35.661,0.09,0.0,0.0,38.645,19.204
beamdocs.fnal.gov_AD_DocDB_0002_000284_003_Fast_Recycler_Stacking_v2.pptx,ok,0,506.054,5056327,30124718,200,144,54,37.5,46,98,0,1,,4.79,86.048,58.989,4.272,89.974,0.116,0.0,0.0,174.937,85.756
beamdocs.fnal.gov_AD_DocDB_0022_002206_001_Shiltsev_Thoughts.pptx,ok,0,452.849,2341469,16108296,199,157,46,29.3,38,119,0,1,,11.439,92.025,62.027,3.111,137.401,0.071,0.0,0.0,88.623,56.853
cce.nasa.gov_cce_biodiversity_2009agenda_May%207%20Biodiv-EcoFore%20Team%20Mtg_Hansenpalms%20NASA%202009.2.pptx,ok,0,623.244,7944282,25988034,296,206,46,22.33,42,164,0,1,,11.622,161.768,38.216,3.702,170.248,0.11,0.0,0.0,162.119,74.096
cce.nasa.gov_mtg2008_ab_presentations_JSW08_Poster_Moore_206_57.pptx,ok,0,154.796,2293920,18756456,62,32,2,6.25,2,30,0,1,,7.499,63.831,6.898,2.602,4.347,0.022,0.0,0.0,8.826,59.718
cceo.gsfc.nasa.gov_meeting_2008_biodiversity_pres_may01_08_geller.pptx,ok,0,624.958,1619103,14663681,194,297,40,13.47,39,258,0,1,,1.525,16.807,55.383,2.286,330.606,0.104,0.0,0.0,144.415,72.707
cdc.gov_tb_programs_Evaluation_Guide_Webinar_Using_survillance_data_in_evaluation.pptx,ok,0,575.19,609422,28824739,174,143,70,48.95,67,76,0,1,,5.042,24.384,66.363,3.874,114.769,0.12,0.0,0.0,247.038,112.335
ciwmb.ca.gov_part2000_Events_07Conf_Presentations_Day3_Enforcement_Actions_Grossberg.pptx,ok,0,356.061,8184873,17433054,170,86,32,37.21,31,55,0,1,,10.965,88.553,8.803,2.821,99.328,0.054,0.0,0.0,84.267,60.013
doe.sd.gov_statescholars_docs_pres_10_ssi.pptx,ok,0,535.119,784535,34484504,103,84,38,45.24,37,47,0,1,,0.765,7.21,18.639,1.966,91.957,0.087,0.0,0.0,279.332,134.108
dpi.wi.gov_sped_ppt_spp-disp-si06klingnerkn.pptx,ok,0,826.898,1500547,44659636,419,261,94,36.02,72,189,0,1,,7.053,95.566,41.592,8.529,254.642,0.15,0.0,0.0,277.967,139.996
education.gsfc.nasa.gov_nycri_research_files_06-LGCC.pptx,ok,0,226.306,3984715,9186984,334,41,12,29.27,11,30,0,1,,12.771,89.84,6.8,1.766,25.183,0.043,0.0,0.0,51.869,37.022
energyarchive.ca.gov_fuels_petroleum_dependence_documents_2002-03-28_presentation_1.pptx,ok,0,251.216,1058500,8615475,75,125,16,12.8,14,111,0,1,,0.164,1.003,21.582,1.603,119.638,0.088,0.0,0.0,69.911,36.335
fimsinfo.doe.gov_Workshop_2008_Presentations_sokolovich_emcbcupdate.pptx,ok,0,308.99,42475231,17475249,113,82,34,41.46,32,50,0,1,,14.777,49.111,27.719,3.988,80.565,0.075,0.0,0.0,88.031,43.222
fms.treas.gov_gtas_agency_outreach_presentation_4-22_revised.pptx,ok,0,733.983,546540,33736638,283,254,94,37.01,89,165,0,1,,3.062,42.908,79.408,4.524,114.731,0.149,0.0,0.0,297.318,190.607
gis.oregon.gov_DAS_EISPD_GEO_docs_standards_7thLIDARWorkshopNotes.pptx,ok,0,150.798,18254,4131486,41,36,12,33.33,12,24,0,1,,0.071,0.049,13.792,0.709,42.2,0.048,0.0,0.0,62.052,30.872
hapmap.ncbi.nlm.nih.gov_downloads_presentations_HAPMAP_ASHG_kong.pptx,ok,0,573.75,1269850,21747801,159,157,56,35.67,54,103,0,1,,5.71,23.052,47.039,3.367,189.672,0.145,0.0,0.0,207.71,95.625
health.nv.gov_PDFs_CSHCN_EPSDT_Orient.pptx,ok,0,238.332,167741,9628331,64,50,24,48.0,23,27,0,1,,0.336,4.44,22.848,1.735,52.945,0.063,0.0,0.0,106.667,48.146
health.utah.gov_phi_brownbag_handouts_2009_New%20Guidelines%20for%20Data%20Result%20Suppression.pptx,ok,0,581.206,552594,18825219,184,260,48,18.46,41,219,0,1,,4.401,16.212,24.179,3.085,280.578,0.099,0.0,0.0,160.147,91.276
health.utah.gov_worksitewellness_pdfs_2009_UCWHP%20Conference%20Presentationfinal%202.pptx,ok,0,747.525,1211740,57863052,235,150,76,50.67,61,89,0,1,,7.005,61.052,51.645,14.802,177.747,0.115,0.0,0.0,288.323,145.511
hss.energy.gov_HealthSafety_ism_workshop_2007nov_TrackC_Friday_1000_1200_Track_C_Summary.pptx,ok,0,101.544,46808,2664220,26,25,10,40.0,10,15,0,1,,0.081,0.035,12.487,0.511,28.952,0.034,0.0,0.0,37.314,20.911
iter.energy.gov_~_media_bes_besac_powerpoint_Rohlfing_02_2008.pptx,ok,0,546.469,898150,23513249,250,322,40,12.42,37,285,0,1,,5.325,24.254,41.802,2.688,277.093,0.108,0.0,0.0,119.873,74.097
landval.gsfc.nasa.gov_eoslandval2001_CHEAS_Gower.pptx,ok,0,764.053,9391044,19274385,183,451,42,9.31,37,414,0,1,,4.787,80.888,34.408,3.021,399.98,0.129,0.0,0.0,167.893,71.834
legislature.idaho.gov_sessioninfo_2004_interim_bearriver0427clark.pptx,ok,0,188.99,3085453,11850532,48,34,18,52.94,18,16,0,1,,4.02,14.046,23.906,2.547,33.796,0.061,0.0,0.0,71.651,38.043
legislature.idaho.gov_sessioninfo_2009_interim_healthcare0826_idhw_presentation.pptx,ok,0,563.763,1072510,23616992,135,154,48,31.17,45,109,0,1,,2.544,33.256,57.542,4.531,183.525,0.093,0.0,0.0,167.652,113.639
library01.gsfc.nasa.gov_host_hitchhiker_VORTEX.pptx,ok,0,429.297,2282566,16285790,186,99,34,34.34,29,70,0,1,,5.029,67.657,32.666,2.181,119.925,0.096,0.0,0.0,142.014,58.525
library01.gsfc.nasa.gov_host_hitchhiker_blastsplat.pptx,ok,0,564.613,16688394,25615754,194,117,48,41.03,42,75,0,1,,8.691,93.832,41.734,6.478,129.321,0.133,0.0,0.0,176.648,106.422
lists.oes.ca.gov_pipermail_psrspc-exec_attachments_20080606_2a0212e9_PSRSPC_Public_Relations_PowerPoint_6-4-08-0001.pptx,ok,0,303.049,1716118,14578316,81,63,30,47.62,30,33,0,1,,1.133,10.405,57.425,2.437,70.113,0.137,0.0,0.0,103.997,56.156
lni.wa.gov_Main_GMAP_files_Licensing.pptx,ok,0,47.333,35333,1227051,11,16,2,12.5,2,14,0,1,,0.046,0.024,5.4,0.176,20.972,0.037,0.0,0.0,12.558,6.969
lpvs.gsfc.nasa.gov_PPT_albedo_mtg_overview_schaaf.pptx,ok,0,90.152,13976,4464890,15,12,6,50.0,6,6,0,1,,0.096,0.04,12.382,0.383,15.037,0.031,0.0,0.0,31.843,29.094
ltgov.wa.gov_LCEDIR_2009_Globalhealth_Presentations_WGHA.pptx,ok,0,412.747,3355747,25879671,238,115,28,24.35,19,96,0,1,,9.66,119.884,14.799,8.574,87.776,0.115,0.0,0.0,107.309,63.251
mhcc.maryland.gov_electronichealth_ehr_vendors_glostream_presentation.pptx,ok,0,149.92,1782079,8071890,66,44,18,40.91,17,27,0,1,,4.028,30.2,13.59,1.422,15.369,0.036,0.0,0.0,55.936,28.437
mobile.va.gov_sites_default_files_ProviderProgram_OutreachToolkitPresentation.pptx,ok,0,130.766,621428,6438263,80,44,16,36.36,12,32,0,1,,2.56,31.626,7.542,1.995,17.084,0.031,0.0,0.0,38.315,30.622
modis.gsfc.nasa.gov_sci_team_meetings_200805_presentations_atmos_wilcox.pptx,ok,0,306.678,986247,8494331,125,84,20,23.81,18,66,0,1,,11.629,58.365,13.719,1.443,106.671,0.054,0.0,0.0,75.162,37.968
namma.msfc.nasa.gov_documents_mdouglas_jmajia_aew_from_temp_anomalies-poster_may07.pptx,ok,0,146.502,4318403,7848145,128,69,2,2.9,1,68,0,1,,5.907,65.553,8.921,3.419,34.003,0.025,0.0,0.0,3.904,23.68
neptune.gsfc.nasa.gov_wais_pastmeetings_PPT04_Question4_Gray.pptx,ok,0,341.507,18525358,14969319,181,93,22,23.66,15,78,0,1,,20.508,101.143,15.065,2.657,54.517,0.068,0.0,0.0,63.808,82.232
nhs.ky.gov_cacfp_The%20Aging%20Process%20and%20Providing%20Nutrition%20Care.pptx,ok,0,497.185,2097014,16355207,147,103,46,44.66,43,60,0,1,,3.705,56.452,58.191,2.422,49.905,0.16,0.0,0.0,200.485,124.692
nhs.ky.gov_nslsbp_CD_ROM_haccp_Presentations_Ch6.pptx,ok,0,303.735,264669,10714087,80,85,28,32.94,28,57,0,1,,1.112,4.876,39.353,2.29,91.291,0.127,0.0,0.0,117.307,45.869
nppwww.gsfc.nasa.gov_presentations_2004feb_schwaller.pptx,ok,0,778.002,153383,12233683,196,435,32,7.36,32,403,0,1,,1.542,5.735,35.164,2.504,519.92,0.22,0.0,0.0,134.601,76.755
ocio.ca.gov_OIS_Government_events_documents_PracticalPrivacy-Security-Panel.pptx,ok,0,277.429,878887,7011798,128,102,22,21.57,22,80,0,1,,3.208,17.783,17.428,1.592,135.641,0.052,0.0,0.0,66.16,34.276
origin-www.fsis.usda.gov__PPT_RBI_042507_%20Anderson.pptx,ok,0,166.236,33290,3437116,53,108,12,11.11,12,96,0,1,,0.106,0.068,17.858,0.569,82.902,0.038,0.0,0.0,42.558,21.255
osa.jpl.nasa.gov_gallery_ppt_MISR_images_May2003.pptx,ok,0,286.915,1615044,32035580,57,28,8,28.57,1,27,0,1,,3.002,19.825,3.731,1.001,20.47,0.026,0.0,0.0,130.508,107.294
pbar.fnal.gov_documents_talks_breakout_Debuncher%20breakout.pptx,ok,0,219.392,85788,7642339,48,54,18,33.33,18,36,0,1,,0.174,0.108,23.534,0.891,63.768,0.037,0.0,0.0,82.876,46.884
permanent.access.gpo.gov_websites_epagov_www.epa.gov_owow_watershed_wacademy_acad2000_dwa_wilhelm-bartley.pptx,ok,0,105.065,22126,4017624,29,27,12,44.44,12,15,0,1,,0.062,0.029,16.888,0.668,24.476,0.028,0.0,0.0,42.536,19.092
procurement.oregon.gov_DAS_OPB_docs_Committees_OSIII_4slides.pptx,ok,0,222.226,28378,2643757,176,292,8,2.74,8,284,0,1,,0.209,0.201,12.369,0.463,181.028,0.077,0.0,0.0,17.683,9.347
projectx-docdb.fnal.gov_cgi-bin_RetrieveFile_docid=64_filename=Hylen_ihep.pptx,ok,0,215.285,456757,7821507,101,118,28,23.73,23,95,0,1,,10.718,20.682,41.859,1.368,41.071,0.054,0.0,0.0,64.115,34.373
recbd.ca.gov_cvfpb_meetings_2009_Item10.2-Title23Tier2RevisionsSubcommittee.pptx,ok,0,20.228,11835,745223,5,4,2,50.0,2,2,0,1,,0.023,0.011,5.196,0.106,3.566,0.014,0.0,0.0,6.58,3.728
register.grad.usda.gov_presentations_Hug.pptx,ok,0,464.116,202977,17374276,148,149,52,34.9,50,99,0,1,,0.799,10.698,58.87,2.576,80.388,0.089,0.0,0.0,192.803,116.916
scp.gsfc.nasa.gov_hsfnsg_nsg_0907_Splinter%20Presentations_0907%20NSG_ATV_%20Splinter.pptx,ok,0,323.612,265320,10695122,82,64,32,50.0,32,32,0,1,,0.481,2.065,34.008,1.603,62.844,0.056,0.0,0.0,145.236,76.364
sec.gsfc.nasa.gov_thct_pito.pptx,ok,0,44.24,51361,857766,11,14,2,14.29,2,12,0,1,,0.702,3.685,3.881,0.176,17.296,0.023,0.0,0.0,9.011,7.663
sessions.house.gov_UploadedFiles_Session%20III%20j.pptx,ok,0,76.818,36804593,6793116,48,24,8,33.33,5,19,0,1,,2.766,4.49,6.215,1.465,21.711,0.021,0.0,0.0,25.241,13.471
smad-ext.grc.nasa.gov_qe_nasa_rmo_archive_Mar02Aero.pptx,ok,0,233.036,44509,8148839,95,76,38,50.0,37,39,0,1,,0.146,0.092,41.509,2.016,45.465,0.057,0.0,0.0,85.034,57.756
swrcb2.swrcb.ca.gov_water_issues_programs_bptcp_docs_sqoac_2004_april_sqo_intropres.pptx,ok,0,173.091,27131,6608466,48,43,20,46.51,20,23,0,1,,0.097,0.057,31.393,1.154,27.25,0.041,0.0,0.0,77.268,34.909
transit-safety.volpe.dot.gov_DrugAndAlcohol_Training_NatConf_2009_Presentations_FTA-FMCSA_2009Conference.pptx,ok,0,843.242,2214196,25677758,263,160,78,48.75,68,92,0,1,,13.582,110.232,91.962,3.728,85.627,0.121,0.0,0.0,351.575,185.329
transition.fmcsa.dot.gov_documents_safety-security_TACT-Overview-Presentation.pptx,ok,0,497.676,1878449,31242086,190,139,36,25.9,32,107,0,1,,8.893,56.91,27.443,7.884,147.239,0.097,0.0,0.0,137.748,109.675
trotsky.arc.nasa.gov_~pgazis_News_workshop2003_Nieto_Santisteban_AISRP2003.pptx,ok,0,474.182,493286,16094835,205,303,46,15.18,38,265,0,1,,3.396,25.731,63.206,3.378,149.411,0.152,0.0,0.0,147.494,80.13
uscms-docdb.fnal.gov_cgi-bin_RetrieveFile_docid=1576_filename=IM%20Status%2C%20June%202006.pptx,ok,0,224.718,296672,9891071,90,71,34,47.89,32,39,0,1,,1.951,7.879,46.81,2.16,27.481,0.097,0.0,0.0,86.934,50.23
vmsstreamer1.fnal.gov_VMS_Site_02_Lectures_BDNetworking_Presentations_Drendel3.pptx,ok,0,190.079,85584,13217187,62,56,28,50.0,28,28,0,1,,0.374,0.157,42.233,5.082,20.148,0.117,0.0,0.0,74.133,46.496
vmsstreamer1.fnal.gov_VMS_Site_03_Lectures_APTS_090521Zolotorev_090521Zolotorev.pptx,ok,0,724.423,540198,12447819,725,656,70,10.67,53,603,0,1,,17.014,246.982,44.885,4.619,194.975,0.28,0.0,0.0,133.653,80.69
vmsstreamer1.fnal.gov_VMS_Site_03_Lectures_Colloquium_presentations_050323Tannenbaum.pptx,ok,0,640.322,5112779,29490823,452,402,98,24.38,95,307,0,1,,12.671,85.583,110.243,6.319,100.822,0.169,0.0,0.0,212.396,110.784
web-services.gov_GEAFMeeting102703.pptx,ok,0,222.299,124376,12166127,88,89,32,35.96,32,57,0,1,,0.569,4.596,43.582,1.643,27.461,0.05,0.0,0.0,94.874,48.548
web-services.gov_Web%20Services%20for%20E-Gov%202003BLN.pptx,ok,0,661.731,2562899,49457030,497,796,88,11.06,85,711,0,1,,12.208,61.993,138.398,16.052,95.206,0.27,0.0,0.0,188.61,147.532
web-services.gov_XML%20Web%20Services-ESC-Mitre.pptx,ok,0,753.787,1096605,39285152,414,403,144,35.73,142,261,0,1,,5.257,19.129,141.793,9.871,49.464,0.309,0.0,0.0,318.901,207.672
wheat.pw.usda.gov_ggpages_oatnewsletter_v50_AOWC_AOWC2006Presentations_Session%204_06%20Anderson.pptx,ok,0,149.478,16450570,6300012,97,89,30,33.71,30,59,0,1,,6.437,15.219,38.226,2.421,9.445,0.066,0.0,0.0,47.003,29.392
www-td.fnal.gov_lc_cv_mac_fnal_02_doc_Sheppard.pptx,ok,0,320.366,1402215,12909267,189,153,64,41.83,58,95,0,1,,8.357,24.68,71.538,4.237,18.145,0.164,0.0,0.0,120.136,71.627
www.abag.ca.gov_bayarea_eqmaps_mitigation_Perkins-BldgOff-Marin-July-1-09.pptx,ok,0,407.789,10270826,21233136,358,195,72,36.92,72,123,0,1,,14.916,89.337,100.684,9.128,24.42,0.186,0.0,0.0,91.845,75.835
www.bcbintranet.sc.gov_OHR_hr-advisory_WorkforcePlanningImportant.pptx,ok,0,71.943,24440,2567087,44,36,18,50.0,17,19,0,1,,0.098,0.055,20.356,0.784,4.483,0.047,0.0,0.0,24.481,20.525
www.c-ad.bnl.gov_esfd_Scheduling_Physicist_Time_meetings_2013_tm130430_130430_APEX_Bai.pptx,ok,0,18.956,14227,310764,25,38,2,5.26,2,36,0,1,,0.066,0.047,3.248,0.184,5.183,0.042,0.0,0.0,4.989,3.72
www.calguard.ca.gov_cahr_Documents_Pubs_supvrs_course_TandA.pptx,ok,0,127.977,164001,4709335,99,105,40,38.1,40,65,0,1,,0.244,0.254,29.868,2.296,12.745,0.152,0.0,0.0,50.304,30.97
www.cdc.gov_ncidod_diseases_hepatitis_slideset_101_101_hbv.pptx,ok,0,581.817,10266995,24836939,275,1412,40,2.83,34,1378,0,1,,2.686,7.868,29.547,2.796,240.446,0.826,0.0,0.0,168.774,127.337
www.cdc.gov_nip_registry_pubs_pres-slides_ds1.pptx,ok,0,207.542,259103,5485929,214,639,34,5.32,33,606,0,1,,2.222,23.996,21.811,1.725,81.502,0.157,0.0,0.0,48.113,27.101
www.cdc.gov_phin_04conference_05-24-04_Session_1B-John_%20Loonsk.pptx,ok,0,195.454,570992,10577610,135,141,44,31.21,42,99,0,1,,0.781,4.131,47.087,2.135,19.057,0.12,0.0,0.0,71.682,49.55
www.cdph.ca.gov_certlic_occupations_Documents_REHSTraining_Solano_Septic.pptx,ok,0,295.54,1872789,20068366,204,119,60,50.42,59,60,0,1,,6.729,48.955,82.82,10.494,14.306,0.2,0.0,0.0,70.291,60.564
www.cdph.ca.gov_programs_mdl_Documents_Procedures%20to%20follow-Select%20agent-or-toxin.pptx,ok,0,411.026,318960,24570722,268,207,94,45.41,94,113,0,1,,2.16,20.188,84.089,8.358,28.264,0.161,0.0,0.0,175.746,91.013
www.cdph.ca.gov_programs_wicworks_Documents_BF_WIC-BF-BreastfeedingPeerCounselingProgramOverviewForWICDirectorsWebex.pptx,ok,0,264.541,1413888,10436883,256,179,70,39.11,70,109,0,1,,6.867,45.693,53.416,4.805,21.285,0.122,0.0,0.0,74.091,56.715
www.cdph.ca.gov_programs_wicworks_Documents_BabyBehavior_WIC-BB-FinalTrainingCAWICPart1.pptx,ok,0,816.935,4280107,36268979,646,467,166,35.55,164,303,0,1,,16.855,103.837,176.563,11.338,56.214,0.439,0.0,0.0,245.36,205.116
www.cdph.ca.gov_programs_wicworks_Documents_WICNewWICPediatricReferralFormTutorial.pptx,ok,0,198.841,2483564,10408096,128,148,50,33.78,50,98,0,1,,1.512,11.515,58.853,3.698,17.296,0.087,0.0,0.0,66.846,38.126
www.cdpr.ca.gov_docs_county_training_strucpst_symp2004_spcbspclst.pptx,ok,0,281.935,2009838,13916087,198,133,58,43.61,58,75,0,1,,7.883,32.421,85.807,4.322,16.548,0.083,0.0,0.0,80.13,53.5
www.cind.research.va.gov_teaching_MII09_Week6_Segmentation.pptx,ok,0,655.418,6888284,23100003,646,723,134,18.53,118,605,0,1,,9.903,86.438,140.745,8.834,85.296,0.419,0.0,0.0,209.775,112.914
www.digitalpreservation.gov__meetings_documents_ndiipp08_session10_altman.pptx,ok,0,255.168,246087,8484291,232,176,36,20.45,35,141,0,1,,3.79,32.116,40.842,2.262,21.186,0.103,0.0,0.0,87.923,65.22
www.ebuy.gsa.gov_images_advrewrite_tutorial_orderhistory.pptx,ok,0,65.417,1005190,2744623,47,42,12,28.57,12,30,0,1,,3.894,7.415,17.35,1.054,5.297,0.027,0.0,0.0,16.807,12.644
www.eia.doe.gov_oiaf_archive_aeo01_conf_eia_1.pptx,ok,0,206.104,200389,6728543,168,541,46,8.5,44,497,0,1,,0.428,0.138,45.367,2.019,67.28,0.181,0.0,0.0,56.808,32.895
www.emd.wa.gov_plans_documents_PublicOutreachSlides.pptx,ok,0,81.087,7766036,6248193,48,116,10,8.62,10,106,0,1,,7.711,14.313,23.256,2.163,14.907,0.034,0.0,0.0,9.104,8.648
www.emsc.nysed.gov_irts_cohort_2009_Grad-Rates07-08additionalslides.pptx,ok,0,608.926,744248,21893987,418,554,144,25.99,83,471,0,1,,2.586,14.17,145.561,6.829,77.961,0.237,0.0,0.0,193.994,166.479
www.er.doe.gov_News_Information_speeches_Budget_Presentations_rollout%20fy03%20final.pptx,ok,0,553.146,10922645,16383991,352,2020,32,1.58,30,1990,0,1,,15.271,105.147,37.695,2.408,242.293,3.399,0.0,0.0,91.62,54.12
